"Sample Time","00:00","06:00"
"Sample Point","Flowline","Flowline"
"Sample Depth mMD","2192","2192"
"Fluid Type","ULTIDRILL","ULTIDRILL"
"Fluid Density (g/cm3)","1.5","1.5"
"Funnel Visc (s)","147","147"
"Mf ()","",""
"Pm ()","",""
"Pm filtrate ()","",""
"Chloride ()","",""
"Calcium ()","",""
"Magnesium ()","",""
"Ph","",""
"Excess Lime ()","",""
"Solids","",""
"Sand ()","",""
"Water ()","",""
"Oil ()","",""
"Solids ()","",""
"Corrected solids ()","",""
"High gravity solids ()","",""
"Low gravity solids ()","",""
"Viscometer tests","",""
"51
51
Plastic visc. (mPa.s)","",""
"15.5
15.5
Yield point (Pa)","",""
"Filtration tests","",""
"Pm filtrate ()","",""
"Filtrate Lthp ()","",""
"Filtrate Hthp ()","",""
